"club_name","player_name","age","position","club_involved_name","fee","transfer_movement","transfer_period","fee_cleaned","league_name","year","season","country"
"Al-Hilal SFC","Khaled Aziz",18,"Defensive Midfield","Unknown","?","in","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Hilal SFC","Sami Al-Jaber",27,"Centre-Forward","Wolves","loan transfer","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Hilal SFC","Fahad Al-Ghesheyan",26,"Right Winger","Al-Nassr","-","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Hilal SFC","Saleh Al-Salloumi",37,"Goalkeeper","Retired","-","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Hilal SFC","Elijah Litana",29,"Centre-Back","Retired","-","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Marzouq Al-Otaibi",24,"Centre-Forward","Al-Shabab","€2.00m","in","Summer",2,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Khalid Massad",28,"Attacking Midfield","Al-Ahli","free transfer","in","Summer",0,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Ivan Malimon",21,"Centre-Forward","Edessaikos","free transfer","in","Summer",0,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Manaf Abushgeer",20,"Left Midfield","Ittihad C. U23","-","in","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Darci",31,"Left Winger","Antalyaspor","?","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Macros Pereira",26,"Attack","Seongnam Ilhwa","?","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Roberto Donadoni",36,"Right Midfield","Retired","-","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Nassr FC","Saad Al-Shehri",20,"Midfield","Al-Ettifaq","?","in","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Nassr FC","Fahad Al-Ghesheyan",26,"Right Winger","Al-Hilal","-","in","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Nassr FC","Ahmed Bahja",29,"Centre-Forward","Al-Ahli","?","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Nassr FC","Fahad Al Bishi",34,"Midfield","Retired","-","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Nassr FC","Milson",22,"Centre-Forward","Botafogo","End of loanJun 30, 2000","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Shabab FC","Mustapha Bidoudane",24,"Centre-Forward","FUS Rabat","?","in","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Shabab FC","Redha Tukar",24,"Centre-Back","Ohod Club","?","in","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Shabab FC","Marzouq Al-Otaibi",24,"Centre-Forward","Ittihad Club","€2.00m","out","Summer",2,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Ahli SFC","Mohammed Husain Bahzad",20,"Centre-Back","Al-Najma","?","in","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Ahli SFC","Naif Al-Qadi",21,"Centre-Back","Unknown","?","in","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Ahli SFC","Waleed Al-Gizani",19,"Centre-Forward","Al-Ahli U23","-","in","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Ahli SFC","Khalid Massad",28,"Attacking Midfield","Ittihad Club","free transfer","out","Summer",0,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Ettifaq FC","Saad Al-Shehri",20,"Midfield","Al-Nassr","?","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Qadsiah FC","Saud Kariri",19,"Defensive Midfield","Unknown","?","in","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Qadsiah FC","Yasser Al-Qahtani",17,"Centre-Forward","Al-Qadsiah U23","-","in","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Riyadh SC","Moussa N'Daw",31,"Centre-Forward","Retired","-","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Wehda FC","Hassen Ghoula",31,"Centre-Back","CR Béni Thour","?","in","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Wehda FC","Nei Bala",22,"Centre-Forward","Al-Ain FC","?","in","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Wehda FC","Tarek Hadj Adlane",34,"Centre-Forward","USM Alger","free transfer","out","Summer",0,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Wehda FC","Ernest Mtawali",31,"Defensive Midfield","Orlando Pirates","?","out","Summer",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Hilal SFC","Túlio",24,"Defensive Midfield","Goiás","free transfer","in","Winter",0,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Hilal SFC","Abdullah Sulaiman Zubromawi",27,"Centre-Back","Al-Ahli","?","in","Winter",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Hilal SFC","Christopher Wreh",25,"Centre-Forward","Arsenal","?","in","Winter",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Hilal SFC","Roni",23,"Centre-Forward","Fluminense","loan transfer","in","Winter",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Hilal SFC","Sami Al-Jaber",28,"Centre-Forward","Wolves","End of loanJan 30, 2001","in","Winter",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Mabrouk Zaid",21,"Goalkeeper","Al-Riyadh SC","free transfer","in","Winter",0,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Michele Gelsi",32,"Central Midfield","Ravenna","?","in","Winter",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Marcelo Gómez",30,"Defensive Midfield","Gimnasia","?","in","Winter",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Dalian Atkinson",32,"Centre-Forward","Daejeon Citizen","Loan fee:€19k","out","Winter",0.019,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Ivan Malimon",22,"Centre-Forward","Unknown","free transfer","out","Winter",0,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Ittihad Club","Gerson",28,"Centre-Forward","Antalyaspor","?","out","Winter",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Nassr FC","Mehdi Ben Slimane",27,"Right Winger","SC Freiburg","loan transfer","in","Winter",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Shabab FC","Baba Adamu",21,"Centre-Forward","Chernomorets N.","€50k","out","Winter",0.05,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Ahli SFC","Maher Kanzari",27,"Attacking Midfield","Esperance","?","in","Winter",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Ahli SFC","Abdullah Sulaiman Zubromawi",27,"Centre-Back","Al-Hilal","?","out","Winter",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Ettifaq FC","Faraj Laheeb",22,"Centre-Forward","Kuwait SC","End of loanDec 31, 2000","out","Winter",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Riyadh SC","Mabrouk Zaid",21,"Goalkeeper","Ittihad Club","free transfer","out","Winter",0,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Wehda FC","Nei Bala",22,"Centre-Forward","Nacional-SP","?","out","Winter",NA,"Saudi Professional League",2000,"2000/2001","Saudi Arabia"
"Al-Hilal SFC","Edmilson",33,"Attack","SC Braga","?","in","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Hilal SFC","Khamis Al-Owairan",27,"Defensive Midfield","Ittihad Club","?","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Hilal SFC","Christopher Wreh",26,"Centre-Forward","St. Mirren","?","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Hilal SFC","Serginho",27,"Centre-Forward","Ittihad Club","?","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Hilal SFC","Khalid Al-Temawi",33,"Central Midfield","Retired","-","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Hilal SFC","Roni",24,"Centre-Forward","Fluminense","End of loanJun 30, 2001","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Ittihad Club","Dario Baccin",24,"Right-Back","Napoli","?","in","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Ittihad Club","Khamis Al-Owairan",27,"Defensive Midfield","Al-Hilal","?","in","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Ittihad Club","Serginho",27,"Centre-Forward","Al-Hilal","?","in","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Ittihad Club","Hamad Al Montashari",19,"Centre-Back","Ittihad C. U23","-","in","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Ittihad Club","Osama Al Harbi",17,"Centre-Back","Ittihad C. U23","-","in","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Ittihad Club","Dalian Atkinson",33,"Centre-Forward","Daejeon Citizen","End of loanJun 30, 2001","in","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Ittihad Club","Akwá",24,"Centre-Forward","Al-Wakrah SC","free transfer","out","Summer",0,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Ittihad Club","Mutiu Adepoju",30,"Central Midfield","UD Salamanca","?","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Ittihad Club","Michele Gelsi",32,"Central Midfield","AS Livorno","?","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Ittihad Club","Marcelo Gómez",30,"Defensive Midfield","Huracán","?","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Ittihad Club","Dalian Atkinson",33,"Centre-Forward","Daejeon Citizen","?","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Nassr FC","Julio César Baldivieso",29,"Attacking Midfield","Cobreloa","?","in","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Nassr FC","Fahad Al-Ghesheyan",27,"Right Winger","Unknown","?","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Nassr FC","Fuad Anwar Amin",28,"Central Midfield","Retired","-","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Nassr FC","Mehdi Ben Slimane",27,"Right Winger","SC Freiburg","End of loanJun 30, 2001","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Ahli SFC","Saad Al-Dosari",23,"Attacking Midfield","Al-Riyadh SC","?","in","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Ahli SFC","Abdullah Al-Waked",26,"Central Midfield","Al-Shabab","loan transfer","in","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Ahli SFC","Reda Seeka",28,"Centre-Back","Zamalek","loan transfer","in","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Ahli SFC","Mahamadou Sidibé",22,"Goalkeeper","Athinaikos","free transfer","out","Summer",0,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Ahli SFC","Ali Dhawi",17,"Second Striker","Najran SC","free transfer","out","Summer",0,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Ahli SFC","Maher Kanzari",28,"Attacking Midfield","Al-Nasr SC","?","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Ahli SFC","Raúl Gordillo",26,"Central Midfield","América","End of loanJun 30, 2001","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Shabab FC","Mustapha Bidoudane",25,"Centre-Forward","FUS Rabat","?","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Shabab FC","Abdullah Al-Waked",26,"Central Midfield","Al-Ahli","loan transfer","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Shabab FC","Saeed Al-Owairan",33,"Centre-Forward","Retired","-","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Wehda FC","Hassen Ghoula",32,"Centre-Back","CR Béni Thour","free transfer","out","Summer",0,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Ettifaq FC","Abdulrahman Al-Qahtani",18,"Left Midfield","Unknown","?","in","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Riyadh SC","Khalid Radhi",20,"Goalkeeper","Unknown","?","in","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Riyadh SC","Saad Al-Dosari",23,"Attacking Midfield","Al-Ahli","?","out","Summer",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Hilal SFC","Faisal Abuthnain",31,"Defensive Midfield","Retired","-","out","Winter",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Nassr FC","Amadou Fadel Keita",24,"Centre-Forward","C. Rizespor","free transfer","in","Winter",0,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Nassr FC","Jorge Delgado",26,"Centre-Forward","CD Numancia","?","in","Winter",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Ahli SFC","Reda Seeka",29,"Centre-Back","Zamalek","End of loanDec 31, 2001","out","Winter",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Shabab FC","Mirdzhalol Kasymov",31,"Attacking Midfield","KS Samara","?","in","Winter",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Ettifaq FC","Samir Kamouna",29,"Sweeper","Bursaspor","?","in","Winter",NA,"Saudi Professional League",2001,"2001/2002","Saudi Arabia"
"Al-Hilal SFC","Sultan Al-Bargan",19,"Defensive Midfield","Al-Hilal U23","-","in","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Hilal SFC","Edmilson",34,"Attack","Jeonbuk Hyundai","?","out","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Hilal SFC","Andrey Kanchelskis",34,"Right Midfield","Without Club","-","out","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Ittihad Club","Hamad Al-Eissa",20,"Centre-Back","Al-Nassr","?","in","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Ittihad Club","Bebeto",38,"Centre-Forward","Vasco da Gama","?","in","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Ittihad Club","Bebeto",38,"Centre-Forward","Without Club","-","out","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Ittihad Club","Tijani Babangida",29,"Right Winger","Ajax","End of loanMay 1, 2003","out","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Shabab FC","Abdoh Otayf",18,"Attacking Midfield","Al-Shabab U23","-","in","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Shabab FC","Ahmed Ibrahim Otayf",19,"Central Midfield","Al-Shabab U23","-","in","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Shabab FC","Abdullah Al-Dosari",19,"Midfield","Al-Shabab U23","-","in","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Ahli SFC","Mohamed Barakat",25,"Right Winger","Ismaily","free transfer","in","Summer",0,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Ahli SFC","Mamadou Diallo",31,"Centre-Forward","MetroStars","?","in","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Ahli SFC","Khaled Badra",29,"Centre-Back","Esperance","loan transfer","in","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Ahli SFC","Obeid Al-Dosari",26,"Centre-Forward","Retired","-","out","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Qadsiah FC","Ahmed Khalil Al-Khaldi",31,"Goalkeeper","Al-Qadsiah U23","-","in","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Nassr FC","Paulo Nunes",30,"Second Striker","SE Gama","?","in","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Nassr FC","Amadou Fadel Keita",24,"Centre-Forward","Africa Sports","free transfer","out","Summer",0,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Nassr FC","Hamad Al-Eissa",20,"Centre-Back","Ittihad Club","?","out","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Nassr FC","Jorge Delgado",26,"Centre-Forward","Wanderers","?","out","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Nassr FC","Fahad Al-Mehallel",31,"Centre-Forward","Unknown","?","out","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Nassr FC","Ibrahim Al-Shokia",27,"Defence","Al-Faisaly FC","?","out","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Ettifaq FC","Saleh Bashir",20,"Centre-Forward","Own Youth","?","in","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Ettifaq FC","Samir Kamouna",30,"Sweeper","El Ahly","?","out","Summer",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Riyadh SC","Schwenck",23,"Centre-Forward","CFZ-DF","free transfer","in","Summer",0,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Hilal SFC","Abdulaziz Al-Khathran",29,"Defensive Midfield","Al-Shabab","€170k","in","Winter",0.17,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Hilal SFC","Andrey Kanchelskis",34,"Right Midfield","Southampton","free transfer","in","Winter",0,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Hilal SFC","Leandro Avíla",31,"Defensive Midfield","Internacional","?","in","Winter",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Hilal SFC","Túlio",26,"Defensive Midfield","Goiás","free transfer","out","Winter",0,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Ittihad Club","Guilherme Alves",28,"Centre-Forward","Corinthians","€1.10m","in","Winter",1.1,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Ittihad Club","Titi Camara",30,"Centre-Forward","West Ham","loan transfer","in","Winter",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Ittihad Club","Chikelue Iloenyosi",24,"Defence","C. Rizespor","?","in","Winter",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Ittihad Club","Tijani Babangida",29,"Right Winger","Ajax","loan transfer","in","Winter",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Ittihad Club","Dario Baccin",26,"Right-Back","Taranto","?","out","Winter",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Shabab FC","Abdulaziz Al-Khathran",29,"Defensive Midfield","Al-Hilal","€170k","out","Winter",0.17,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Shabab FC","Mirdzhalol Kasymov",32,"Attacking Midfield","Pakhtakor","?","out","Winter",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Ahli SFC","Mamadou Diallo",31,"Centre-Forward","IFK Göteborg","free transfer","out","Winter",0,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Ahli SFC","Mohammed Husain Bahzad",22,"Centre-Back","Kazma SC","?","out","Winter",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Qadsiah FC","Alex Pinho",30,"Defence","Sport Recife","?","in","Winter",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Nassr FC","Carlos Tenorio",23,"Centre-Forward","LDU Quito","loan transfer","in","Winter",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Nassr FC","Paulo Nunes",31,"Second Striker","Mogi Mirim","?","out","Winter",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Nassr FC","Julio César Baldivieso",31,"Attacking Midfield","Aurora","?","out","Winter",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Riyadh SC","Schwenck",23,"Centre-Forward","América-RJ","free transfer","out","Winter",0,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Al-Riyadh SC","Oumar Traoré",27,"Midfield","Unknown","?","out","Winter",NA,"Saudi Professional League",2002,"2002/2003","Saudi Arabia"
"Ittihad Club","Mesfr Al Kahtani",19,"Defence","Unknown","free transfer","in","Summer",0,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Ittihad Club","Redha Tukar",27,"Centre-Back","Al-Shabab","free transfer","in","Summer",0,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Ittihad Club","Salah Iddine Khlifi",24,"Midfield","Xamax","?","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Ittihad Club","Tcheco",27,"Central Midfield","Coritiba FC","?","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Ittihad Club","Abdullah Al-Waked",27,"Central Midfield","Al-Shabab","?","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Ittihad Club","Dimba",29,"Centre-Forward","Goiás","?","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Ittihad Club","Chikelue Iloenyosi",24,"Defence","Asteras Tripoli","free transfer","out","Summer",0,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Ittihad Club","Guilherme Alves",29,"Centre-Forward","Cruzeiro","free transfer","out","Summer",0,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Ittihad Club","Mohammed Al-Khilaiwi",31,"Centre-Back","Al-Ahli","?","out","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Ittihad Club","Titi Camara",30,"Centre-Forward","West Ham","End of loanJun 30, 2003","out","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Ettifaq FC","José Soares",27,"Centre-Back","Schweinfurt 05","free transfer","in","Summer",0,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Ettifaq FC","Arílson",30,"Attacking Midfield","Avaí FC","?","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Ettifaq FC","Ali Al-Fuheid",NA,"Midfield","Unknown","?","out","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Ahli SFC","Kim",23,"Centre-Forward","Atlético-MG","€500k","in","Summer",0.5,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Ahli SFC","Mohammed Al-Khilaiwi",31,"Centre-Back","Ittihad Club","?","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Ahli SFC","Bouchaib El Moubarki",25,"Right Winger","Al-Sadd SC","?","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Ahli SFC","Taiseer Al-Jassam",18,"Central Midfield","Al-Ahli Yth.","-","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Ahli SFC","Safwan Al-Muwallid",19,"Second Striker","Al-Ahli U23","-","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Ahli SFC","Mohamed Barakat",26,"Right Winger","Al-Arabi SC","free transfer","out","Summer",0,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Ahli SFC","Saad Al-Dosari",25,"Attacking Midfield","Al-Hilal","?","out","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Ahli SFC","Bouchaib El Moubarki",25,"Right Winger","Al-Rayyan SC","?","out","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Ahli SFC","Khaled Badra",30,"Centre-Back","Esperance","End of loanAug 1, 2003","out","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Ahli SFC","Abdullah Al-Waked",27,"Central Midfield","Al-Shabab","End of loanJun 30, 2003","out","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Nassr FC","Marcelinho Carioca",32,"Attacking Midfield","Vasco da Gama","€2.00m","in","Summer",2,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Nassr FC","Nashat Akram",18,"Attacking Midfield","Al-Shorta SC","?","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Nassr FC","Otilino Tenorio",23,"Attack","CS Emelec","?","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Nassr FC","Saad Al-Harthi",19,"Centre-Forward","Al-Nassr FC U23","-","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Nassr FC","Carlos Tenorio",24,"Centre-Forward","LDU Quito","End of loanJun 22, 2003","out","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Hilal SFC","Jatto Ceesay",28,"Right Winger","Willem II","free transfer","in","Summer",0,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Hilal SFC","Abdullah Al-Shehan",26,"Attack","Al-Shabab","free transfer","in","Summer",0,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Hilal SFC","Mauricio Aros",27,"Left-Back","Feyenoord","?","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Hilal SFC","Saad Al-Dosari",25,"Attacking Midfield","Al-Ahli","?","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Wehda FC","Sulaiman Amedu",20,"Centre-Back","Al-Wehda FC U23","-","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Wehda FC","Nasser Al-Shamrani",19,"Centre-Forward","Al-Wehda FC U23","-","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Wehda FC","Essa Al-Mehyani",20,"Centre-Forward","Al-Wehda FC U23","-","in","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
"Al-Qadsiah FC","Ahmed Khalil Al-Khaldi",32,"Goalkeeper","Al-Sailiya SC","?","out","Summer",NA,"Saudi Professional League",2003,"2003/2004","Saudi Arabia"
